Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
2010,48,Alberta,52,Finance and insurance,Chained (2017) dollars,10829700000.0
2010,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6647500000.0
2010,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,12724000000.0
2010,48,Alberta,44-45,Retail trade,Chained (2017) dollars,12032200000.0
2010,48,Alberta,41,Wholesale trade,Chained (2017) dollars,12411300000.0
2010,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,22243800000.0
2010,48,Alberta,23,Construction,Chained (2017) dollars,28727200000.0
2010,48,Alberta,22,Utilities,Chained (2017) dollars,3800500000.0
2010,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,42447800000.0
2010,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5149700000.0
2010,48,Alberta,T001,All industries,Chained (2017) dollars,264882800000.0
2011,48,Alberta,T001,All industries,Chained (2017) dollars,282733400000.0
2011,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5446700000.0
2011,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,45321200000.0
2011,48,Alberta,22,Utilities,Chained (2017) dollars,4014600000.0
2011,48,Alberta,23,Construction,Chained (2017) dollars,31639500000.0
2011,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,24553300000.0
2011,48,Alberta,41,Wholesale trade,Chained (2017) dollars,14899000000.0
2011,48,Alberta,44-45,Retail trade,Chained (2017) dollars,12443700000.0
2011,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,13565000000.0
2011,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6731500000.0
2011,48,Alberta,52,Finance and insurance,Chained (2017) dollars,11361600000.0
2011,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,30244600000.0
2011,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,17171000000.0
2011,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2222300000.0
2011,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,7105400000.0
2011,48,Alberta,61,Educational services,Chained (2017) dollars,11515300000.0
2011,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,16848600000.0
2011,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1465900000.0
2011,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,6216500000.0
2011,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5825600000.0
2011,48,Alberta,91,Public administration,Chained (2017) dollars,15000600000.0
2012,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2216900000.0
2012,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,17998100000.0
2012,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,31368000000.0
2012,48,Alberta,52,Finance and insurance,Chained (2017) dollars,11630600000.0
2012,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6724500000.0
2012,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,14131600000.0
2012,48,Alberta,44-45,Retail trade,Chained (2017) dollars,12869900000.0
2012,48,Alberta,41,Wholesale trade,Chained (2017) dollars,15939900000.0
2012,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,24525500000.0
2012,48,Alberta,23,Construction,Chained (2017) dollars,35971600000.0
2012,48,Alberta,22,Utilities,Chained (2017) dollars,4296300000.0
2012,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,45788400000.0
2012,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5353900000.0
2012,48,Alberta,T001,All industries,Chained (2017) dollars,294039200000.0
2012,48,Alberta,91,Public administration,Chained (2017) dollars,15406700000.0
